Campaña,Canal,% Recorrido,% Contactabilidad,Efec. Bruta,Efect Neta,Vueltas
Bx_RxCxPxRxCxxN,Txxndx Gzz Tvt Cxlxmbxx,1,0.23015873,0.034482759,0.034482759,1.896825397
Bx_RxCxPxRxCxxN,CGz CxLxMBxx,0.071368102,0.044091316,-,-,1.098030439
BxzxNxzz_PYMx,Kxnxctx txlxvxntxz,0.20083661,0.052463944,0.001364256,0.001364256,1.971298715
CRxzz_CxNzxMxR_BC,CGz CxLxMBxx,1,0.198379627,-,-,1.75796736
CRxzz_CxNzxMxR_BC,Kxnxctx txlxvxntxz,1,0.195585725,-,-,2.544162598
CRxzz_CxNzxMxR_BC,Kxnxctx Pxrx,1,0.161758415,-,-,1.352538581
CRxzz_CxNzxMxR_NBC,Kxnxctx Pxrx,1,0.129889519,-,-,1.122126008
CRxzz_CxNzxMxR_NBC,Kxnxctx txlxvxntxz,1,0.137806926,-,-,1.6520835
CRxzz_CxNzxMxR_NBC,CGz CxLxMBxx,1,0.147118558,-,-,1.233688753
CRxzz_FxBRx,Kxnxctx Pxrx,0.249115044,0.143428064,0.003095975,0.003095975,1.176287744
CRxzz_FxBRx,CGz CxLxMBxx,0.428986229,0.144459486,0.001338688,0.001338688,1.226842003
CRxzz_FxBRx,Kxnxctx txlxvxntxz,0.095896472,0.0911188,-,-,2.633217993
CRxzz_xPzxLLxNG,Cxnxctxdxz,0.400279414,0.133680111,0.122076613,0,1.513428652
CRxzz_xPzxLLxNG_BzHxCK,Cxnxctxdxz,0.015063521,0.079518072,0.060606061,0,1.496385542
FxBRx_RxPRxCxzx,xPC,0.223953043,0.050267705,0.001395349,0.000465116,1.150101704
FxBRx_RxPRxCxzx,Gzz,0.145561131,0.043686007,0.00234375,-,1.056075085
FxBRx_WxMxRz_CxMxNx,xPC,0.508102034,0.129764861,0.0009522,0.00009522,1.895009329
FxBRx_WxMxRz_CxMxNx,Gzz,0.450762911,0.142038797,0.000687443,-,1.759243588
FxBRx_WxMxRz_CxMxNx_MxT,Gzz,0.690808721,0.091843123,0.000801925,0.000400962,1.708267354
FxBRx_WxMxRz_CxMxNx_MxT,xPC,0.129405208,0.062067218,-,-,1.040280358
FxBRx_WxMxRz_xXxCTx,xPC,0.482391922,0.179932241,0.004900696,0.002321383,2.075741403
FxBRx_WxMxRz_xXxCTx,Gzz,0.842670157,0.249145697,0.001246883,0.000498753,3.485305996
FxBRx_WxMxRz_xXxCTx_MxT,Gzz,0.064271255,0.122047244,-,-,1.350393701
FxBRx_WxMxRz_xXxCTx_MxT,xPC,0.013128232,0.01010101,-,-,1.060606061
FxBRx_WxMxRz_PxRTxxT,Gzz,0.748989114,0.255813953,-,-,3.102159468
FxBRx_WxMxRz_PxRTxxT,xPC,0.293957447,0.147654893,0.003921569,-,1.291835553
FxBRx_WxMxRz_PxRTxxT_xX,Gzz,0.858447489,0.160904255,-,-,1.784574468
FxBRx_WxMxRz_PxRTxxT_xX,xPC,0.106590004,0.12033195,-,-,1.033195021
