Campaña,Canal,% Recorrido,% Contactabilidad,Efec. Bruta,Efect Neta,Vueltas
BxzxNxzz_PYMx,Kxnxctx txlxvxntxz,1,0.04265222,-,-,2.26556539
CRxzz_CxN_xQxxPx,Kxnxctx txlxvxntxz cxlxmbxx,0.932071066,0.348824642,0.005070065,0.002746285,6.079241483
CRxzz_CxN_xQxxPx,CGz CxLxMBxx,0.76310651,0.254140308,0.002681508,0.001264862,2.474630973
CRxzz_FxBRx,Kxnxctx txlxvxntxz cxlxmbxx,0.769467976,0.202404533,0.002275831,0.001137915,2.404256299
CRxzz_FxBRx,Kxnxctx txlxvxntxz cxlxmbxx,-,-,-,-,-
CRxzz_zxN_xQxxPx,Kxnxctx txlxvxntxz cxlxmbxx,0.598395756,0.211228304,0.006699956,0.003033942,2.829399199
CRxzz_zxN_xQxxPx,CGz CxLxMBxx,0.446358809,0.184491117,0.003825205,0.002411542,1.571139272
CRxzz_xPzxLLxNG,Cxnxctxdxz,0.901855355,0.168372782,0.078129298,0.076675182,3.357907135
CRxzz_xPzxLLxNG_BzHxCK,Cxnxctxdxz,0.1931657,0.152870494,0.687772926,0.672489083,2.40170227
Crxzz_Bxzxnxzz,Kxnxctx txlxvxntxz,1,0.154167912,0.003875969,0.003875969,3.189722139
FxBRx_RxPRxCxzx,xPC,0.531503968,0.100166132,0.00169026,0.001056412,1.588923103
FxBRx_RxPRxCxzx,Gzz,0.690840723,0.064016118,0.001522843,0.000888325,1.840227793
FxBRx_WxMxRz_CxMxNx,xPC,0.872110186,0.181518375,0.001758218,0.000532793,2.000290135
FxBRx_WxMxRz_CxMxNx,Gzz,1,0.229816543,0.000625826,0.000417217,3.490843135
FxBRx_WxMxRz_CxMxNx_MxT,Gzz,1,0.177300201,0.00094697,0.000541126,4.912717068
FxBRx_WxMxRz_CxMxNx_MxT,xPC,0.798231976,0.118842959,0.000135446,-,2.727448329
FxBRx_WxMxRz_xXxCTx,xPC,0.955333315,0.304937219,0.005689489,0.002989392,4.012526833
FxBRx_WxMxRz_xXxCTx,Gzz,1,0.361952229,0.002598077,0.001818654,5.800827534
FxBRx_WxMxRz_xXxCTx_MxT,Gzz,1,0.191323693,0.002906977,0.002906977,4.869299221
