Campaña,Canal,% Recorrido,% Contactabilidad,Efec. Bruta,Efect Neta,Vueltas
LLxMxDxRxz_BxJx,Txxndx Gzz Tvt Cxlxmbxx,1,0.281228071,0.001659472,0.001100302,11.055754237
LLxMxDxRxz_BxJx,Hxldtxch,1,0.137636447,0.001326057,0.000739532,2.75541399
LLxMxDxRxz_BxJx,Kxnxctx Pxrx,1,0.224423667,0.000942971,0.000683312,5.748704564
LLxMxDxRxz_BxJx,Cxvxzxxn Pxrx TVT,1,0.242969066,0.001124498,0.000671778,8.668997892
LLxMxDxRxz_BxJx,CGz CxLxMBxx,1,0.194352999,0.000866388,0.000590148,4.32490025
LLxMxDxRxz_BxJx,Kxnxctx txlxvxntxz,1,0.173855758,0.001295889,0.000574128,4.276868189
LLxMxDxRxz_MxDxx,PHxxNxXzxLxz,1,0.165168539,0.004535147,0.002267574,3.676404494
LLxMxDxRxz_MxDxx,xMxRGxx,1,0.314458929,0.001890121,0.001260081,8.747394698
LLxMxDxRxz_MxDxx,Txxndx Gzz Tvt Cxlxmbxx,1,0.32441852,0.001541828,0.001094201,9.143403442
LLxMxDxRxz_MxDxx,Kxnxctx txlxvxntxz,1,0.218694837,0.001552217,0.00093133,3.751052331
LLxMxDxRxz_MxDxx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.278448068,0.001268527,0.00086794,6.821345578
LLxMxDxRxz_MxDxx,Kxnxctx Pxrx,1,0.262418745,0.001231562,0.000699751,4.903661537
LLxMxDxRxz_MxDxx,Hxldtxch,1,0.180909363,0.001468698,0.000550762,2.5556146
LLxMxDxRxz_MxDxx,CGz CxLxMBxx,1,0.236178213,0.000788682,0.000443634,3.884827177
LLxMxDxRxz_MxDxx,Cxvxzxxn Pxrx TVT,1,0.285317627,0.000648776,0.000353878,7.180496424
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,PHxxNxXzxLxz,1,0.17725,0.004231312,0.002820874,3.88075
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,xMxRGxx,1,0.244477274,0.00175072,0.001073022,7.864983156
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Txxndx Gzz Tvt Cxlxmbxx,1,0.363408177,0.001583608,0.000998891,13.017800542
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Cxvxzxxn Pxrx TVT,1,0.330602078,0.001288788,0.000991375,10.553144767
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Kxnxctx txlxvxntxz,1,0.322560149,0.001181878,0.000919238,10.436674009
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Hxldtxch,1,0.199422665,0.001587598,0.000747105,5.010690008
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Kxnxctx Pxrx,1,0.358257415,0.000879687,0.000654651,13.830329593
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.342636633,0.00167627,0.000628601,10.075706722
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,CGz CxLxMBxx,1,0.349577684,0.001218672,0.000582843,10.434911462
LLxMxDxRxz_TxCTxCx_xLTx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.366539924,0.012318465,0.007780083,10.620247148
LLxMxDxRxz_TxCTxCx_xLTx,Kxnxctx Pxrx,1,0.35442531,0.009450437,0.006831022,12.809571486
LLxMxDxRxz_TxCTxCx_xLTx,Kxnxctx txlxvxntxz,1,0.35105941,0.008284024,0.005621302,11.421894474
LLxMxDxRxz_TxCTxCx_xLTx,Txxndx Gzz Tvt Cxlxmbxx,1,0.37868044,0.007789994,0.004967958,13.634900315
LLxMxDxRxz_TxCTxCx_xLTx,CGz CxLxMBxx,1,0.335978342,0.007085301,0.004723534,9.320154966
LLxMxDxRxz_TxCTxCx_xLTx,PHxxNxXzxLxz,1,0.155797101,0.003875969,0.003875969,3.541062802
LLxMxDxRxz_TxCTxCx_xLTx,xMxRGxx,1,0.262106263,0.005197669,0.003622618,8.921190604
LLxMxDxRxz_TxCTxCx_xLTx,Cxvxzxxn Pxrx TVT,1,0.344499179,0.005004766,0.003336511,10.546551724
LLxMxDxRxz_TxCTxCx_xLTx,Hxldtxch,1,0.180319565,0.004341164,0.002298264,3.946125155
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,Hxldtxch,0.970150576,0.165525427,0.00551572,0.00275786,2.517301196
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.294989946,0.004260153,0.002556092,6.791303619
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,1,0.370158858,0.003476749,0.002390265,11.71864066
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,Kxnxctx Pxrx,1,0.32297637,0.003424658,0.002283105,7.274912016
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,Kxnxctx txlxvxntxz,1,0.166322399,0.002980626,0.001987084,2.573411551
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,xMxRGxx,0.964141898,0.324383453,0.002452483,0.001839362,9.522673031
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,CGz CxLxMBxx,1,0.267617342,0.002389486,0.001433692,4.788719785
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,Cxvxzxxn Pxrx TVT,1,0.256092037,0.004244782,0.001414927,5.579853248
LLxMxDxRxz_TxCTxCx_MxDxx_BxJx,PHxxNxXzxLxz,0.852534562,0.117567568,-,-,2.028378378
LLxMxDxRxz_TRxNzxNxxN_xLTx,Hxldtxch,1,0.235612366,0.003532677,0.002271007,4.26902497
LLxMxDxRxz_TRxNzxNxxN_xLTx,xMxRGxx,1,0.337368216,0.002893519,0.001929012,8.796498764
LLxMxDxRxz_TRxNzxNxxN_xLTx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.400877193,0.002703051,0.001802034,8.396594427
LLxMxDxRxz_TRxNzxNxxN_xLTx,Txxndx Gzz Tvt Cxlxmbxx,1,0.419611144,0.002345662,0.001427794,11.111222059
LLxMxDxRxz_TRxNzxNxxN_xLTx,Kxnxctx Pxrx,1,0.400580413,0.00172209,0.001187648,11.970313281
LLxMxDxRxz_TRxNzxNxxN_xLTx,CGz CxLxMBxx,1,0.363576555,0.00230301,0.000822504,8.186244019
LLxMxDxRxz_TRxNzxNxxN_xLTx,Kxnxctx txlxvxntxz,1,0.380862279,0.000709723,0.000709723,9.474118124
LLxMxDxRxz_TRxNzxNxxN_xLTx,Cxvxzxxn Pxrx TVT,1,0.389659922,0.000815661,0.000271887,9.280961966
LLxMxDxRxz_TRxNzxNxxN_xLTx,PHxxNxXzxLxz,1,0.20303757,-,-,3.372501998
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,Kxnxctx txlxvxntxz cxlxmbxx,0.98336336,0.343657859,0.001166181,0.001166181,4.965305012
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,xMxRGxx,0.987100103,0.413225301,0.001265022,0.00113852,7.569628855
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,Kxnxctx txlxvxntxz,1,0.245605819,0.000785193,0.000673023,2.847539809
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,1,0.449257623,0.000497512,0.000379057,9.400425736
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,Cxvxzxxn Pxrx TVT,1,0.382967203,0.000269306,0.000201979,6.838412748
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,Kxnxctx Pxrx,1,0.344870332,0.000260471,0.000156283,3.984953693
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,CGz CxLxMBxx,1,0.253162814,0.000310873,0.000155436,2.686473192
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,PHxxNxXzxLxz,0.390213688,0.10952381,-,-,1.487301587
LLxMxDxRxz_TRxNzxNxxN_MxDxx_BxJx,Hxldtxch,0.89645809,0.200419811,-,-,1.978584334
