Campaña,Canal,Total Cargado,Recorrido,Contactado,Intentos,Vuelta,% Recorrido,% Contactabilidad
Bx_RxCxPxRxCxxN,Txxndx Gzz Tvt Cxlxmbxx,127,127,29,240,1.88976378,1,0.228346457
LLxMxDxRxz_xLTx,Txxndx Gzz Tvt Cxlxmbxx,309601,283102,69049,2026364,7.157717007,0.914409191,0.243901491
LLxMxDxRxz_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,632823,536261,91630,2164218,4.035754978,0.847410729,0.17086829
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Txxndx Gzz Tvt Cxlxmbxx,216000,176030,29346,1331332,7.563097199,0.814953704,0.16671022
PxLxTx_zxN_RxzTRxCCxxNxz,Txxndx Gzz Tvt Cxlxmbxx,4575,828,90,923,1.1147343,0.180983607,0.108695652
PxLxTx_zxN_RxzTRxCCxxNxz_xzPxCxxL,Txxndx Gzz Tvt Cxlxmbxx,34484,19883,1598,35441,1.782477493,0.576586243,0.080370165
RxTxRGxTxNG_PxRTx,Txxndx Gzz Tvt Cxlxmbxx,11214,7629,2844,22620,2.965001966,0.680310326,0.372788046
RxTxRGxTxNG_PxRTx_xzP,Txxndx Gzz Tvt Cxlxmbxx,326524,50899,8329,72508,1.424546651,0.155881344,0.163637792
WxNBxCK_CxNzxMxR,Txxndx Gzz Tvt Cxlxmbxx,71662,46207,2325,107732,2.331508213,0.644790824,0.050317052
WxNBxCK_DxxDxRxz,Txxndx Gzz Tvt Cxlxmbxx,14641,9457,444,22114,2.338373691,0.645925825,0.04694935
