Campaña,Canal,Total Cargado,Recorrido,Contactado,Intentos,Vuelta,% Recorrido,% Contactabilidad
LLxMxDxRxz_xLTx,Txxndx Gzz Tvt Cxlxmbxx,443943,439898,105506,4100462,9.321392686,0.99088847,0.239841963
LLxMxDxRxz_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,437305,430300,94168,3629039,8.433741576,0.983981432,0.218842668
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Txxndx Gzz Tvt Cxlxmbxx,69999,69934,15082,629700,9.004203964,0.999071415,0.21566048
LLxMxDxRxz_PxLxTx_DxCxL_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,339603,339603,70191,3255443,9.586025447,1,0.206685453
PxLxTx_zxN_RxzTRxCCxxNxz,Txxndx Gzz Tvt Cxlxmbxx,7164,7160,2406,60665,8.472765363,0.999441653,0.33603352
RxTxRGxTxNG_PxRTx,Txxndx Gzz Tvt Cxlxmbxx,9055,9055,6423,123329,13.619988956,1,0.709331861
WxNBxCK_CxNzxMxR,Txxndx Gzz Tvt Cxlxmbxx,74367,69510,7976,630832,9.07541361,0.934688773,0.11474608
WxNBxCK_DxxDxRxz,Txxndx Gzz Tvt Cxlxmbxx,16440,16377,2305,143074,8.736276485,0.996167883,0.140746168
