Campaña;Canal;Total Cargado;Recorrido;Contactado;Intentos;Vuelta;% Recorrido;% Contactabilidad;mes;año
WxNBxCK_FxBRx_xNVxLxNTxRxx;Gzz CxLxMBxx;5615;5131;319;17231;3.358.214.773;0,913802315;0,062171117;1;2026
WxNBxCK_FxBRx_PxLxTx;Gzz CxLxMBxx;4925;4496;325;11968;2.661.921.708;0,912893401;0,072286477;1;2026
CxNzxMxR_BxzxNxzz;Txxndx Gzz Tvt Cxlxmbxx;35921;35921;17884;143362;3.991.035.884;1;0,497870327;1;2026
LLxMxDxRxz_CLxRx_xLTx;Txxndx Gzz Tvt Cxlxmbxx;564107;564107;146546;4470977;7.925.760.538;1;0,259784048;1;2026
LLxMxDxRxz_CLxRx_BxJx;Txxndx Gzz Tvt Cxlxmbxx;94418;94418;22052;696618;737.802.114;1;0,233557161;1;2026
LLxMxDxRxz_CLxRx_MxDxx;Txxndx Gzz Tvt Cxlxmbxx;80532;80532;23587;564178;7.005.637.511;1;0,292889783;1;2026
LLxMxDxRxz_xNTxL_xLTx;Txxndx Gzz Tvt Cxlxmbxx;105923;105923;25210;836714;7.899.266.448;1;0,238003078;1;2026
LLxMxDxRxz_xNTxL_BxJx;Txxndx Gzz Tvt Cxlxmbxx;1279223;1279223;276833;9023550;7.053.930.394;1;0,216407147;1;2026
LLxMxDxRxz_xNTxL_MxDxx;Txxndx Gzz Tvt Cxlxmbxx;209319;209319;54283;1390836;6.644.575.982;1;0,259331451;1;2026
LLxMxDxRxz_xzTRxTxGxx;Txxndx Gzz Tvt Cxlxmbxx;21;21;9;75;3.571.428.571;1;0,428571429;1;2026
LLxMxDxRxz_MxVxzTxR_xLTx;Txxndx Gzz Tvt Cxlxmbxx;287316;287316;89873;1877166;6.533.454.454;1;0,312801932;1;2026
LLxMxDxRxz_MxVxzTxR_BxJx;Txxndx Gzz Tvt Cxlxmbxx;333145;333145;80825;2225847;6.681.315.944;1;0,242612076;1;2026
LLxMxDxRxz_MxVxzTxR_MxDxx;Txxndx Gzz Tvt Cxlxmbxx;279843;279843;84302;1671079;5.971.487.584;1;0,301247485;1;2026
LLxMxDxRxz_xTRxz_xLTx;Txxndx Gzz Tvt Cxlxmbxx;60635;60635;12867;476841;7.864.121.382;1;0,212204173;1;2026
LLxMxDxRxz_xTRxz_BxJx;Txxndx Gzz Tvt Cxlxmbxx;23449;23449;3124;217281;9.266.109.429;1;0,133225297;1;2026
LLxMxDxRxz_xTRxz_MxDxx;Txxndx Gzz Tvt Cxlxmbxx;13751;13751;1752;118317;8.604.246.964;1;0,127408916;1;2026
LLxMxDxRxz_TxCTxCx_xLTx;Txxndx Gzz Tvt Cxlxmbxx;159054;159054;48804;1386094;8.714.612.647;1;0,306839187;1;2026
LLxMxDxRxz_TxCTxCx_BxJx;Txxndx Gzz Tvt Cxlxmbxx;44328;44328;7466;302405;6.821.986.104;1;0,168426277;1;2026
LLxMxDxRxz_TxCTxCx_MxDxx;Txxndx Gzz Tvt Cxlxmbxx;29286;29286;6315;182534;6.232.807.485;1;0,215632043;1;2026
LLxMxDxRxz_TRxNzxNxxN_xLTx;Txxndx Gzz Tvt Cxlxmbxx;20549;20549;5263;209556;10.197.868.509;1;0,256119519;1;2026
LLxMxDxRxz_TRxNzxNxxN_BxJx;Txxndx Gzz Tvt Cxlxmbxx;46575;46575;8171;356653;7.657.606.012;1;0,175437466;1;2026
LLxMxDxRxz_TRxNzxNxxN_MxDxx;Txxndx Gzz Tvt Cxlxmbxx;13666;13666;3198;92955;6.801.917.167;1;0,234011415;1;2026
WxNBxCK_CLxRx;Txxndx Gzz Tvt Cxlxmbxx;26300;26300;4052;167014;6.350.342.205;1;0,154068441;1;2026
WxNBxCK_CxNzxMxR;Txxndx Gzz Tvt Cxlxmbxx;11779;11779;609;123782;10.508.701.927;1;0,051702182;1;2026
WxNBxCK_DxxDxRxz;Txxndx Gzz Tvt Cxlxmbxx;100960;100960;13107;688725;6.821.761.094;1;0,129823693;1;2026
WxNBxCK_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;56810;56810;7766;452517;7.965.446.224;1;0,136701285;1;2026
WxNBxCK_MxVxzTxR;Txxndx Gzz Tvt Cxlxmbxx;38430;38430;6624;264620;6.885.766.328;1;0,17236534;1;2026
WxNBxCK_PxLxTx;Txxndx Gzz Tvt Cxlxmbxx;100037;100037;21838;1139999;11.395.773.564;1;0,218299229;1;2026
WxNBxCK_VTR;Txxndx Gzz Tvt Cxlxmbxx;5579;5579;785;57929;10.383.402.043;1;0,14070622;1;2026
