Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
LLxMxDxRxz_L1;PHxxNxXzxLxz;89,33%;0,269240338;0,007267146;0,00400946;;1;2024
LLxMxDxRxz_L1;xBR Lxtxm Cxlxmbxx;100,00%;0,44573716;0,006208117;0,003637569;;1;2024
LLxMxDxRxz_L1;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,42148145;0,006819396;0,003094746;;1;2024
LLxMxDxRxz_L1;Kxnxctx txlxvxntxz cxlxmbxx;100,00%;0,254069239;0,005653781;0,002994162;;1;2024
LLxMxDxRxz_L1;MxRKxTMxX;100,00%;0,478086822;0,005629652;0,002784267;;1;2024
LLxMxDxRxz_L1;Gzz BxRRxNQxxLLx;100,00%;0,369731821;0,005402332;0,002566107;;1;2024
LLxMxDxRxz_L1;NxTPxG;100,00%;0,686977117;0,009342156;0,002557971;;1;2024
LLxMxDxRxz_L1;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,266263147;0,005064146;0,001800585;;1;2024
LLxMxDxRxz_L1;CGz CxLxMBxx;57,73%;0,158764282;0,001504514;0,000752257;;1;2024
LLxMxDxRxz_L1;CGz CHxLx;40,11%;0,13475293;0,005146317;-;;1;2024
LLxMxDxRxz_L2;Hxldtxch;100,00%;0,403611305;0,007132051;0,005835314;;1;2024
LLxMxDxRxz_L2;PHxxNxXzxLxz;8,38%;0,181507866;0,008994276;0,004905969;;1;2024
LLxMxDxRxz_L2;xBR Lxtxm Cxlxmbxx;100,00%;0,504632961;0,004017973;0,003585933;;1;2024
LLxMxDxRxz_L2;Hxldtxch zxntxxgx;100,00%;0,251763784;0,006746238;0,003113648;;1;2024
LLxMxDxRxz_L2;Kxnxctx txlxvxntxz cxlxmbxx;100,00%;0,310286142;0,003797239;0,002832861;;1;2024
LLxMxDxRxz_L2;Kxnxctx txlxvxntxz;100,00%;0,428220977;0,004790932;0,002711464;;1;2024
LLxMxDxRxz_L2;MxRKxTMxX;56,66%;0,424294787;0,004707251;0,002618078;;1;2024
